epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1377.72,1.44781,1.71684,1.53926,0.5481,0.57868,0.54464,0.34032,1.35081,1.28413,1.46959,0.00071785,0.00071785,0.00071785
59,1401.2,1.44552,1.71602,1.54082,0.66591,0.50101,0.56772,0.35653,1.31618,1.28352,1.44425,0.0007129,0.0007129,0.0007129
60,1424.93,1.44479,1.72978,1.54292,0.66724,0.58812,0.58861,0.36376,1.33721,1.26355,1.45438,0.00070795,0.00070795,0.00070795
61,1448.44,1.43169,1.71719,1.52868,0.64485,0.55826,0.56106,0.35473,1.30721,1.23962,1.44524,0.000703,0.000703,0.000703
62,1472.02,1.42954,1.71213,1.53513,0.7046,0.52363,0.58715,0.38402,1.32959,1.27461,1.46941,0.00069805,0.00069805,0.00069805
63,1496.2,1.41833,1.67398,1.52159,0.67495,0.5679,0.59153,0.37582,1.31596,1.29204,1.43477,0.0006931,0.0006931,0.0006931
64,1520,1.40551,1.66581,1.51634,0.61317,0.60476,0.57936,0.37786,1.30338,1.25944,1.43545,0.00068815,0.00068815,0.00068815
65,1543.58,1.40596,1.66474,1.51118,0.66295,0.56347,0.59363,0.37503,1.30101,1.26326,1.43144,0.0006832,0.0006832,0.0006832
66,1567.11,1.4049,1.65523,1.51344,0.59181,0.55888,0.56502,0.3532,1.33391,1.28456,1.45963,0.00067825,0.00067825,0.00067825
67,1591.34,1.39945,1.66391,1.51347,0.59911,0.61731,0.60104,0.38835,1.30929,1.19334,1.44183,0.0006733,0.0006733,0.0006733
68,1614.93,1.39733,1.63832,1.50223,0.70071,0.57491,0.60716,0.40225,1.25875,1.20858,1.40193,0.00066835,0.00066835,0.00066835
69,1638.33,1.38911,1.65863,1.50858,0.56699,0.57057,0.56466,0.37905,1.29121,1.24954,1.4167,0.0006634,0.0006634,0.0006634
